....
WiFi connected
IP address: 
192.168.100.11
Scanning...
RSSI -59.00
KALMAN -59.00
RSSI -45.00
KALMAN -59.00
RSSI -55.00
KALMAN -59.00
RSSI -60.00
KALMAN -59.00
RSSI -47.00
KALMAN -58.99
RSSI -61.00
KALMAN -58.99
RSSI -64.00
KALMAN -58.99
RSSI -59.00
KALMAN -58.99
RSSI -45.00
KALMAN -58.98
RSSI -65.00
KALMAN -58.99
RSSI -59.00
KALMAN -58.99
RSSI -46.00
KALMAN -58.97
RSSI -47.00
KALMAN -58.95
RSSI -47.00
KALMAN -58.93
RSSI -58.00
KALMAN -58.92
RSSI -60.00
KALMAN -58.93
RSSI -55.00
KALMAN -58.92
RSSI -46.00
KALMAN -58.89
RSSI -61.00
KALMAN -58.89
RSSI -47.00
KALMAN -58.87
RSSI -58.00
KALMAN -58.86
RSSI -47.00
KALMAN -58.83
RSSI -60.00
KALMAN -58.83
RSSI -47.00
KALMAN -58.80
RSSI -62.00
KALMAN -58.81
RSSI -47.00
KALMAN -58.77
RSSI -62.00
KALMAN -58.78
RSSI -47.00
KALMAN -58.74
RSSI -61.00
KALMAN -58.75
RSSI -46.00
KALMAN -58.71
RSSI -57.00
KALMAN -58.70
RSSI -60.00
KALMAN -58.70
RSSI -60.00
KALMAN -58.71
RSSI -47.00
KALMAN -58.66
RSSI -61.00
KALMAN -58.67
RSSI -60.00
KALMAN -58.68
RSSI -62.00
KALMAN -58.69
RSSI -47.00
KALMAN -58.64
RSSI -60.00
KALMAN -58.65
RSSI -46.00
KALMAN -58.59
RSSI -57.00
KALMAN -58.58
RSSI -64.00
KALMAN -58.60
RSSI -46.00
KALMAN -58.54
RSSI -64.00
KALMAN -58.57
RSSI -56.00
KALMAN -58.56
RSSI -46.00
KALMAN -58.49
RSSI -46.00
KALMAN -58.42
RSSI -59.00
KALMAN -58.43
RSSI -46.00
KALMAN -58.36
RSSI -60.00
KALMAN -58.37
RSSI -63.00
KALMAN -58.39
RSSI -62.00
KALMAN -58.41
RSSI -46.00
KALMAN -58.34
RSSI -47.00
KALMAN -58.27
RSSI -62.00
KALMAN -58.30
RSSI -47.00
KALMAN -58.23
RSSI -62.00
KALMAN -58.25
RSSI -46.00
KALMAN -58.17
RSSI -63.00
KALMAN -58.20
RSSI -61.00
KALMAN -58.22
RSSI -47.00
KALMAN -58.15
RSSI -63.00
KALMAN -58.18
RSSI -59.00
KALMAN -58.18
RSSI -58.00
KALMAN -58.18
RSSI -65.00
KALMAN -58.23
RSSI -57.00
KALMAN -58.22
RSSI -47.00
KALMAN -58.14
RSSI -46.00
KALMAN -58.06
RSSI -62.00
KALMAN -58.08
RSSI -46.00
KALMAN -58.00
RSSI -61.00
KALMAN -58.02
RSSI -48.00
KALMAN -57.94
RSSI -57.00
KALMAN -57.94
RSSI -60.00
KALMAN -57.95
RSSI -61.00
KALMAN -57.98
RSSI -60.00
KALMAN -57.99
RSSI -47.00
KALMAN -57.91
RSSI -47.00
KALMAN -57.82
RSSI -46.00
KALMAN -57.73
RSSI -47.00
KALMAN -57.64
RSSI -59.00
KALMAN -57.65
RSSI -48.00
KALMAN -57.57
RSSI -62.00
KALMAN -57.61
RSSI -46.00
KALMAN -57.52
RSSI -46.00
KALMAN -57.42
RSSI -58.00
KALMAN -57.43
RSSI -60.00
KALMAN -57.45
RSSI -47.00
KALMAN -57.36
RSSI -46.00
KALMAN -57.26
RSSI -46.00
KALMAN -57.17
RSSI -47.00
KALMAN -57.08
RSSI -60.00
KALMAN -57.11
RSSI -59.00
KALMAN -57.12
RSSI -60.00
KALMAN -57.15
RSSI -48.00
KALMAN -57.07
RSSI -46.00
KALMAN -56.97
RSSI -58.00
KALMAN -56.98
RSSI -59.00
KALMAN -57.00
RSSI -60.00
KALMAN -57.02
RSSI -47.00
KALMAN -56.93
RSSI -47.00
KALMAN -56.84
RSSI -62.00
KALMAN -56.89
RSSI -64.00
KALMAN -56.96
RSSI -66.00
KALMAN -57.04
RSSI -47.00
KALMAN -56.95
RSSI -67.00
KALMAN -57.04
RSSI -47.00
KALMAN -56.95
RSSI -47.00
KALMAN -56.85
RSSI -65.00
KALMAN -56.93
RSSI -60.00
KALMAN -56.96
RSSI -64.00
KALMAN -57.02
RSSI -48.00
KALMAN -56.94
RSSI -46.00
KALMAN -56.84
RSSI -60.00
KALMAN -56.87
RSSI -47.00
KALMAN -56.77
RSSI -57.00
KALMAN -56.77
RSSI -57.00
KALMAN -56.78
RSSI -62.00
KALMAN -56.83
RSSI -55.00
KALMAN -56.81
RSSI -59.00
KALMAN -56.83
RSSI -61.00
KALMAN -56.87
RSSI -46.00
KALMAN -56.76
RSSI -59.00
KALMAN -56.79
RSSI -46.00
KALMAN -56.68
RSSI -62.00
KALMAN -56.73
RSSI -59.00
KALMAN -56.75
RSSI -58.00
KALMAN -56.77
RSSI -64.00
KALMAN -56.84
RSSI -55.00
KALMAN -56.82
RSSI -46.00
KALMAN -56.71
RSSI -46.00
KALMAN -56.61
RSSI -47.00
KALMAN -56.51
RSSI -65.00
KALMAN -56.59
RSSI -47.00
KALMAN -56.50
RSSI -56.00
KALMAN -56.49
RSSI -65.00
KALMAN -56.58
RSSI -47.00
KALMAN -56.48
RSSI -61.00
KALMAN -56.53
RSSI -56.00
KALMAN -56.52
RSSI -46.00
KALMAN -56.42
RSSI -65.00
KALMAN -56.50
RSSI -56.00
KALMAN -56.50
RSSI -47.00
KALMAN -56.40
RSSI -56.00
KALMAN -56.40
RSSI -64.00
KALMAN -56.47
RSSI -62.00
KALMAN -56.53
RSSI -56.00
KALMAN -56.53
RSSI -47.00
KALMAN -56.43
RSSI -45.00
KALMAN -56.31
RSSI -47.00
KALMAN -56.21
RSSI -58.00
KALMAN -56.23
RSSI -62.00
KALMAN -56.29
RSSI -62.00
KALMAN -56.35
RSSI -63.00
KALMAN -56.42
RSSI -61.00
KALMAN -56.47
RSSI -60.00
KALMAN -56.50
RSSI -56.00
KALMAN -56.50
RSSI -57.00
KALMAN -56.50
RSSI -47.00
KALMAN -56.41
RSSI -47.00
KALMAN -56.31
RSSI -65.00
KALMAN -56.40
RSSI -67.00
KALMAN -56.51
RSSI -57.00
KALMAN -56.51
RSSI -47.00
KALMAN -56.41
RSSI -48.00
KALMAN -56.33
RSSI -47.00
KALMAN -56.23
RSSI -63.00
KALMAN -56.30
RSSI -64.00
KALMAN -56.38
RSSI -62.00
KALMAN -56.44
RSSI -55.00
KALMAN -56.42
RSSI -61.00
KALMAN -56.47
RSSI -46.00
KALMAN -56.36
RSSI -59.00
KALMAN -56.39
RSSI -64.00
KALMAN -56.47
RSSI -55.00
KALMAN -56.46
RSSI -46.00
KALMAN -56.34
RSSI -48.00
KALMAN -56.25
RSSI -47.00
KALMAN -56.15
RSSI -59.00
KALMAN -56.19
RSSI -61.00
KALMAN -56.24
RSSI -56.00
KALMAN -56.23
RSSI -61.00
KALMAN -56.29
RSSI -62.00
KALMAN -56.35
RSSI -60.00
KALMAN -56.39
RSSI -58.00
KALMAN -56.40
RSSI -47.00
KALMAN -56.30
RSSI -60.00
KALMAN -56.34
RSSI -59.00
KALMAN -56.37
RSSI -47.00
KALMAN -56.27
