..
WiFi connected
IP address: 
192.168.100.11
Scanning...
RSSI -51.00
KALMAN -51.00
RSSI -61.00
KALMAN -51.00
RSSI -49.00
KALMAN -51.00
RSSI -58.00
KALMAN -51.01
RSSI -49.00
KALMAN -51.00
RSSI -60.00
KALMAN -51.01
RSSI -51.00
KALMAN -51.01
RSSI -50.00
KALMAN -51.01
RSSI -49.00
KALMAN -51.01
RSSI -59.00
KALMAN -51.02
RSSI -50.00
KALMAN -51.02
RSSI -58.00
KALMAN -51.03
RSSI -50.00
KALMAN -51.02
RSSI -57.00
KALMAN -51.04
RSSI -49.00
KALMAN -51.03
RSSI -50.00
KALMAN -51.03
RSSI -50.00
KALMAN -51.03
RSSI -52.00
KALMAN -51.03
RSSI -50.00
KALMAN -51.03
RSSI -50.00
KALMAN -51.02
RSSI -59.00
KALMAN -51.04
RSSI -50.00
KALMAN -51.04
RSSI -50.00
KALMAN -51.04
RSSI -58.00
KALMAN -51.06
RSSI -59.00
KALMAN -51.08
RSSI -51.00
KALMAN -51.08
RSSI -50.00
KALMAN -51.08
RSSI -62.00
KALMAN -51.12
RSSI -50.00
KALMAN -51.11
RSSI -50.00
KALMAN -51.11
RSSI -50.00
KALMAN -51.10
RSSI -49.00
KALMAN -51.10
RSSI -58.00
KALMAN -51.12
RSSI -49.00
KALMAN -51.12
RSSI -49.00
KALMAN -51.11
RSSI -52.00
KALMAN -51.11
RSSI -50.00
KALMAN -51.11
RSSI -51.00
KALMAN -51.11
RSSI -50.00
KALMAN -51.10
RSSI -58.00
KALMAN -51.13
RSSI -60.00
KALMAN -51.17
RSSI -59.00
KALMAN -51.21
RSSI -50.00
KALMAN -51.21
RSSI -57.00
KALMAN -51.24
RSSI -51.00
KALMAN -51.24
RSSI -50.00
KALMAN -51.23
RSSI -49.00
KALMAN -51.22
RSSI -50.00
KALMAN -51.21
RSSI -57.00
KALMAN -51.24
RSSI -58.00
KALMAN -51.28
RSSI -49.00
KALMAN -51.27
RSSI -52.00
KALMAN -51.27
RSSI -51.00
KALMAN -51.27
RSSI -51.00
KALMAN -51.27
RSSI -50.00
KALMAN -51.26
RSSI -50.00
KALMAN -51.25
RSSI -60.00
KALMAN -51.31
RSSI -57.00
KALMAN -51.34
RSSI -50.00
KALMAN -51.34
RSSI -50.00
KALMAN -51.33
RSSI -59.00
KALMAN -51.38
RSSI -50.00
KALMAN -51.37
RSSI -51.00
KALMAN -51.37
RSSI -50.00
KALMAN -51.36
RSSI -58.00
KALMAN -51.40
RSSI -50.00
KALMAN -51.39
RSSI -51.00
KALMAN -51.39
RSSI -50.00
KALMAN -51.38
RSSI -52.00
KALMAN -51.38
RSSI -50.00
KALMAN -51.37
RSSI -50.00
KALMAN -51.36
RSSI -62.00
KALMAN -51.44
RSSI -50.00
KALMAN -51.43
RSSI -58.00
KALMAN -51.48
RSSI -57.00
KALMAN -51.52
RSSI -56.00
KALMAN -51.56
RSSI -49.00
KALMAN -51.54
RSSI -50.00
KALMAN -51.53
RSSI -58.00
KALMAN -51.58
RSSI -50.00
KALMAN -51.56
RSSI -58.00
KALMAN -51.62
RSSI -49.00
KALMAN -51.60
RSSI -49.00
KALMAN -51.57
RSSI -57.00
KALMAN -51.62
RSSI -50.00
KALMAN -51.61
RSSI -59.00
KALMAN -51.67
RSSI -49.00
KALMAN -51.64
RSSI -58.00
KALMAN -51.70
RSSI -49.00
KALMAN -51.67
RSSI -50.00
KALMAN -51.66
RSSI -53.00
KALMAN -51.67
RSSI -49.00
KALMAN -51.65
RSSI -58.00
KALMAN -51.70
RSSI -50.00
KALMAN -51.69
RSSI -52.00
KALMAN -51.69
RSSI -50.00
KALMAN -51.68
RSSI -48.00
KALMAN -51.64
RSSI -49.00
KALMAN -51.62
RSSI -57.00
KALMAN -51.67
RSSI -51.00
KALMAN -51.66
RSSI -50.00
KALMAN -51.65
RSSI -50.00
KALMAN -51.63
RSSI -57.00
KALMAN -51.68
RSSI -50.00
KALMAN -51.67
RSSI -51.00
KALMAN -51.66
RSSI -58.00
KALMAN -51.72
RSSI -49.00
KALMAN -51.69
RSSI -50.00
KALMAN -51.68
RSSI -49.00
KALMAN -51.65
RSSI -50.00
KALMAN -51.64
RSSI -51.00
KALMAN -51.63
RSSI -59.00
KALMAN -51.70
RSSI -49.00
KALMAN -51.68
RSSI -57.00
KALMAN -51.73
RSSI -48.00
KALMAN -51.69
RSSI -50.00
KALMAN -51.67
RSSI -49.00
KALMAN -51.65
RSSI -58.00
KALMAN -51.71
RSSI -50.00
KALMAN -51.69
RSSI -59.00
KALMAN -51.76
RSSI -50.00
KALMAN -51.75
RSSI -60.00
KALMAN -51.83
RSSI -49.00
KALMAN -51.80
RSSI -50.00
KALMAN -51.78
RSSI -50.00
KALMAN -51.76
RSSI -50.00
KALMAN -51.75
RSSI -60.00
KALMAN -51.83
RSSI -58.00
KALMAN -51.89
RSSI -51.00
KALMAN -51.88
RSSI -58.00
KALMAN -51.94
RSSI -49.00
KALMAN -51.91
RSSI -50.00
KALMAN -51.89
RSSI -51.00
KALMAN -51.88
RSSI -59.00
KALMAN -51.96
RSSI -50.00
KALMAN -51.94
RSSI -50.00
KALMAN -51.92
RSSI -50.00
KALMAN -51.90
RSSI -57.00
KALMAN -51.95
RSSI -49.00
KALMAN -51.92
RSSI -58.00
KALMAN -51.98
RSSI -56.00
KALMAN -52.02
RSSI -58.00
KALMAN -52.08
RSSI -50.00
KALMAN -52.06
RSSI -52.00
KALMAN -52.06
RSSI -52.00
KALMAN -52.06
RSSI -60.00
KALMAN -52.14
RSSI -50.00
KALMAN -52.12
RSSI -52.00
KALMAN -52.12
RSSI -53.00
KALMAN -52.13
RSSI -57.00
KALMAN -52.18
RSSI -51.00
KALMAN -52.17
RSSI -51.00
KALMAN -52.15
RSSI -51.00
KALMAN -52.14
RSSI -60.00
KALMAN -52.22
RSSI -50.00
KALMAN -52.20
RSSI -51.00
KALMAN -52.19
RSSI -65.00
KALMAN -52.32
RSSI -59.00
KALMAN -52.39
RSSI -52.00
KALMAN -52.39
RSSI -52.00
KALMAN -52.38
RSSI -50.00
KALMAN -52.36
RSSI -59.00
KALMAN -52.43
RSSI -50.00
KALMAN -52.40
RSSI -59.00
KALMAN -52.47
RSSI -57.00
KALMAN -52.52
RSSI -50.00
KALMAN -52.50
RSSI -57.00
KALMAN -52.54
RSSI -50.00
KALMAN -52.52
RSSI -59.00
KALMAN -52.58
RSSI -60.00
KALMAN -52.66
RSSI -58.00
KALMAN -52.72
RSSI -50.00
KALMAN -52.69
RSSI -59.00
KALMAN -52.76
RSSI -51.00
KALMAN -52.74
RSSI -50.00
KALMAN -52.71
RSSI -58.00
KALMAN -52.77
RSSI -50.00
KALMAN -52.74
RSSI -51.00
KALMAN -52.72
RSSI -49.00
KALMAN -52.68
RSSI -62.00
KALMAN -52.78
RSSI -57.00
KALMAN -52.82
RSSI -50.00
KALMAN -52.79
RSSI -50.00
KALMAN -52.76
RSSI -61.00
KALMAN -52.85
RSSI -50.00
KALMAN -52.82
RSSI -51.00
KALMAN -52.80
RSSI -52.00
KALMAN -52.79
RSSI -61.00
KALMAN -52.88
RSSI -52.00
KALMAN -52.87
