.
WiFi connected
IP address: 
192.168.100.11
Scanning...
RSSI -50.00
KALMAN -50.00
RSSI -59.00
KALMAN -50.00
RSSI -47.00
KALMAN -50.00
RSSI -50.00
KALMAN -50.00
RSSI -50.00
KALMAN -50.00
RSSI -61.00
KALMAN -50.01
RSSI -65.00
KALMAN -50.02
RSSI -63.00
KALMAN -50.04
RSSI -48.00
KALMAN -50.03
RSSI -52.00
KALMAN -50.04
RSSI -47.00
KALMAN -50.03
RSSI -64.00
KALMAN -50.05
RSSI -64.00
KALMAN -50.07
RSSI -48.00
KALMAN -50.07
RSSI -48.00
KALMAN -50.07
RSSI -60.00
KALMAN -50.09
RSSI -65.00
KALMAN -50.12
RSSI -50.00
KALMAN -50.12
RSSI -48.00
KALMAN -50.11
RSSI -60.00
KALMAN -50.14
RSSI -64.00
KALMAN -50.17
RSSI -64.00
KALMAN -50.21
RSSI -63.00
KALMAN -50.25
RSSI -47.00
KALMAN -50.24
RSSI -47.00
KALMAN -50.23
RSSI -62.00
KALMAN -50.26
RSSI -64.00
KALMAN -50.31
RSSI -65.00
KALMAN -50.36
RSSI -48.00
KALMAN -50.35
RSSI -48.00
KALMAN -50.34
RSSI -63.00
KALMAN -50.39
RSSI -47.00
KALMAN -50.38
RSSI -62.00
KALMAN -50.42
RSSI -52.00
KALMAN -50.43
RSSI -53.00
KALMAN -50.44
RSSI -49.00
KALMAN -50.43
RSSI -53.00
KALMAN -50.44
RSSI -48.00
KALMAN -50.43
RSSI -52.00
KALMAN -50.44
RSSI -62.00
KALMAN -50.49
RSSI -63.00
KALMAN -50.55
RSSI -51.00
KALMAN -50.56
RSSI -51.00
KALMAN -50.56
RSSI -51.00
KALMAN -50.56
RSSI -63.00
KALMAN -50.63
RSSI -61.00
KALMAN -50.68
RSSI -52.00
KALMAN -50.69
RSSI -64.00
KALMAN -50.76
RSSI -59.00
KALMAN -50.81
RSSI -47.00
KALMAN -50.78
RSSI -48.00
KALMAN -50.77
RSSI -52.00
KALMAN -50.78
RSSI -62.00
KALMAN -50.84
RSSI -50.00
KALMAN -50.84
RSSI -52.00
KALMAN -50.84
RSSI -61.00
KALMAN -50.91
RSSI -60.00
KALMAN -50.96
RSSI -51.00
KALMAN -50.96
RSSI -52.00
KALMAN -50.97
RSSI -47.00
KALMAN -50.94
RSSI -63.00
KALMAN -51.02
RSSI -51.00
KALMAN -51.02
RSSI -48.00
KALMAN -51.00
RSSI -53.00
KALMAN -51.02
RSSI -61.00
KALMAN -51.09
RSSI -51.00
KALMAN -51.09
RSSI -53.00
KALMAN -51.10
RSSI -61.00
KALMAN -51.17
RSSI -51.00
KALMAN -51.17
RSSI -50.00
KALMAN -51.16
RSSI -48.00
KALMAN -51.14
RSSI -59.00
KALMAN -51.20
RSSI -47.00
KALMAN -51.16
RSSI -60.00
KALMAN -51.23
RSSI -53.00
KALMAN -51.24
RSSI -48.00
KALMAN -51.22
RSSI -64.00
KALMAN -51.32
RSSI -51.00
KALMAN -51.32
RSSI -61.00
KALMAN -51.39
RSSI -47.00
KALMAN -51.36
RSSI -62.00
KALMAN -51.44
RSSI -55.00
KALMAN -51.47
RSSI -53.00
KALMAN -51.48
RSSI -54.00
KALMAN -51.50
RSSI -52.00
KALMAN -51.51
RSSI -52.00
KALMAN -51.51
RSSI -62.00
KALMAN -51.60
RSSI -65.00
KALMAN -51.71
RSSI -48.00
KALMAN -51.68
RSSI -52.00
KALMAN -51.68
RSSI -48.00
KALMAN -51.65
RSSI -52.00
KALMAN -51.66
RSSI -64.00
KALMAN -51.76
RSSI -48.00
KALMAN -51.73
RSSI -64.00
KALMAN -51.84
RSSI -51.00
KALMAN -51.83
RSSI -64.00
KALMAN -51.94
RSSI -48.00
KALMAN -51.90
RSSI -63.00
KALMAN -52.00
RSSI -48.00
KALMAN -51.97
RSSI -63.00
KALMAN -52.07
RSSI -52.00
KALMAN -52.06
RSSI -47.00
KALMAN -52.02
RSSI -65.00
KALMAN -52.14
RSSI -53.00
KALMAN -52.15
RSSI -48.00
KALMAN -52.11
RSSI -51.00
KALMAN -52.10
RSSI -54.00
KALMAN -52.11
RSSI -48.00
KALMAN -52.08
RSSI -49.00
KALMAN -52.05
RSSI -47.00
KALMAN -52.00
RSSI -68.00
KALMAN -52.15
RSSI -53.00
KALMAN -52.16
RSSI -52.00
KALMAN -52.16
RSSI -48.00
KALMAN -52.12
RSSI -65.00
KALMAN -52.24
RSSI -48.00
KALMAN -52.20
RSSI -52.00
KALMAN -52.20
RSSI -61.00
KALMAN -52.28
RSSI -53.00
KALMAN -52.29
RSSI -65.00
KALMAN -52.41
RSSI -51.00
KALMAN -52.40
RSSI -48.00
KALMAN -52.36
RSSI -47.00
KALMAN -52.30
RSSI -48.00
KALMAN -52.26
RSSI -48.00
KALMAN -52.22
RSSI -53.00
KALMAN -52.23
RSSI -52.00
KALMAN -52.23
RSSI -53.00
KALMAN -52.23
RSSI -47.00
KALMAN -52.18
RSSI -64.00
KALMAN -52.30
RSSI -48.00
KALMAN -52.26
RSSI -48.00
KALMAN -52.21
RSSI -65.00
KALMAN -52.34
RSSI -48.00
KALMAN -52.30
RSSI -64.00
KALMAN -52.42
RSSI -53.00
KALMAN -52.42
RSSI -62.00
KALMAN -52.52
RSSI -61.00
KALMAN -52.61
RSSI -52.00
KALMAN -52.60
RSSI -53.00
KALMAN -52.60
RSSI -63.00
KALMAN -52.71
RSSI -63.00
KALMAN -52.82
RSSI -48.00
KALMAN -52.77
RSSI -53.00
KALMAN -52.77
RSSI -48.00
KALMAN -52.72
RSSI -48.00
KALMAN -52.67
RSSI -65.00
KALMAN -52.80
RSSI -53.00
KALMAN -52.80
RSSI -66.00
KALMAN -52.94
RSSI -51.00
KALMAN -52.92
RSSI -62.00
KALMAN -53.01
RSSI -48.00
KALMAN -52.96
RSSI -65.00
KALMAN -53.09
RSSI -67.00
KALMAN -53.23
RSSI -48.00
KALMAN -53.18
RSSI -64.00
KALMAN -53.29
RSSI -62.00
KALMAN -53.38
RSSI -62.00
KALMAN -53.47
RSSI -53.00
KALMAN -53.47
RSSI -53.00
KALMAN -53.46
RSSI -67.00
KALMAN -53.60
RSSI -53.00
KALMAN -53.60
RSSI -48.00
KALMAN -53.54
RSSI -67.00
KALMAN -53.68
RSSI -66.00
KALMAN -53.81
RSSI -52.00
KALMAN -53.79
RSSI -47.00
KALMAN -53.72
RSSI -47.00
KALMAN -53.65
RSSI -64.00
KALMAN -53.76
RSSI -53.00
KALMAN -53.75
RSSI -62.00
KALMAN -53.84
RSSI -53.00
KALMAN -53.83
RSSI -53.00
KALMAN -53.82
RSSI -48.00
KALMAN -53.76
RSSI -64.00
KALMAN -53.87
RSSI -63.00
KALMAN -53.97
RSSI -67.00
KALMAN -54.11
RSSI -48.00
KALMAN -54.04
RSSI -48.00
KALMAN -53.98
RSSI -52.00
KALMAN -53.95
RSSI -53.00
KALMAN -53.94
RSSI -47.00
KALMAN -53.87
RSSI -52.00
KALMAN -53.85
RSSI -52.00
KALMAN -53.83
RSSI -66.00
KALMAN -53.96
RSSI -64.00
KALMAN -54.07
RSSI -53.00
KALMAN -54.06
RSSI -48.00
KALMAN -53.99
